STATE,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,SEASON
WA,1,Minimal,2017-12-16,50,2017-18
AL,10,High,2017-12-16,50,2017-18
SC,10,High,2017-12-16,50,2017-18
AR,10,High,2017-12-16,50,2017-18
WI,1,Minimal,2017-12-16,50,2017-18
OH,1,Minimal,2017-12-16,50,2017-18
HI,3,Minimal,2017-12-16,50,2017-18
DC,4,Low,2017-12-16,50,2017-18
MA,4,Low,2017-12-16,50,2017-18
GA,7,Moderate,2017-12-16,50,2017-18
DE,1,Minimal,2017-12-16,50,2017-18
TN,2,Minimal,2017-12-16,50,2017-18
SD,4,Low,2017-12-16,50,2017-18
TX,10,High,2017-12-16,50,2017-18
RI,2,Minimal,2017-12-16,50,2017-18
LA,10,High,2017-12-16,50,2017-18
FL,2,Minimal,2017-12-16,50,2017-18
NM,5,Low,2017-12-16,50,2017-18
MI,4,Low,2017-12-16,50,2017-18
NE,6,Moderate,2017-12-16,50,2017-18
NY,2,Minimal,2017-12-16,50,2017-18
WV,5,Low,2017-12-16,50,2017-18
AZ,10,High,2017-12-16,50,2017-18
SC,10,High,2017-12-23,51,2017-18
WI,4,Low,2017-12-23,51,2017-18
PA,3,Minimal,2017-12-23,51,2017-18
